cut_Very Good,a4,depth,b5,b3,b1,color_E,color_I,b9,color_J,a7,b2,a2,price,color_H,a6,color_G,color_F,a3,a1,outcome
False,0.500222284346819,62.3,0.131086660083383,0.276682951953262,0.80692219058983,False,False,0.446871152800325,False,-0.273757625667708,0.891912287566811,0.385795799549669,7948,False,0.168836353081191,True,False,0.267057936172932,0.709585297852755,-26.701232356128
False,0.0520792256575078,60.5,0.54922282253392,0.0890385757666081,0.496152986539528,False,False,-0.225030161613359,False,0.315373195019625,0.0928782450500876,0.0375782563351095,898,True,-0.256549066482826,False,False,0.618528156075627,0.64953183173202,6.54809330977468
True,0.131801770534366,60.7,0.916367499856278,0.876056468579918,0.82141525670886,True,False,0.810509214842183,False,-0.657307367845497,0.581294458126649,0.0294694639742374,1351,False,-1.19332713095246,False,False,0.350696630543098,0.550496363313869,6.61256245048701
False,0.232601165305823,61.2,0.0052564346697181,0.0705055249854922,0.800912574864924,False,False,-0.850502676338167,False,-1.77885999779523,0.984788130735978,0.487175598507747,2512,False,-1.74078820243314,False,False,0.339991102227941,0.982447395799682,-5.07356202296556
False,0.923146505840123,62.4,0.522191326366738,0.781068640528247,0.997349207988009,False,False,0.851145884217641,False,1.40926842717438,0.0916622101794928,0.818540144944564,2751,False,-0.859321724890988,True,False,0.955871536396444,0.030876626027748,-14.4365571302902
False,0.272470207186416,60.7,0.153582170605659,0.953014878090471,0.38953370298259,False,True,0.207367811812668,False,-1.21244669069569,0.262331942794845,0.970732573186979,10392,False,0.747348234791309,False,False,0.404170801397413,0.500065569300205,5.61343385012534
True,0.725926411803812,60.5,0.857805149629712,0.708370425272733,0.319138660095632,False,False,-1.14066429190469,False,0.932615283653784,0.687656980473548,0.623057309072465,446,True,1.6992508540841,False,False,0.250959141179919,0.489517323905602,19.709747679086
False,0.358675308292732,62.3,0.466198551468551,0.180173208005726,0.58504293509759,True,False,-1.28370860081588,False,-1.98725284745773,0.353001799201593,0.169699403690174,2615,False,-2.02634812557529,False,False,0.935762199340388,0.689497861079872,-1.40801768780336
True,0.823878230759874,62.3,0.774503670632839,0.70405772398226,0.369434130145237,False,False,0.681006066471226,False,0.360250389372121,0.688563908683136,0.489372505340725,2612,False,-1.48468518786681,False,False,0.44852309813723,0.43330435291864,-12.5369591904452
False,0.583020858000964,62.5,0.163779363036156,0.462095395894721,0.136799935949966,False,False,0.184024545330441,False,0.189258659353313,0.736568786203861,0.322906587505713,5217,True,-0.268406864731762,False,False,0.733123760903254,0.251411116216332,-17.2936574235008
False,0.211603175848722,61.9,0.380057812202722,0.466735649388284,0.405020712641999,False,False,0.648976208604072,False,-1.09118161716757,0.520293837646022,0.0870088634546846,9348,False,-1.43117681361627,False,True,0.973225632915273,0.775131983449683,13.5159890938333
False,0.145584861980751,61.7,0.638045520056039,0.298641849542037,0.5505689852871,True,False,-0.435797485106766,False,-0.307295879984845,0.799111934611574,0.699039519298822,1824,False,-0.370095000733884,False,False,0.220465045189485,0.982917984481901,9.36214508357339
False,0.699641220737249,62.3,0.562968561658636,0.566539545776323,0.957790951244533,False,False,0.229843755622279,False,-0.696073570135334,0.831705951364711,0.334511518012732,2419,False,0.139273840377406,False,True,0.281235604314134,0.511999101610854,10.0578537812998
False,0.903602008474991,60.2,0.396181114017963,0.113383363699541,0.51324111642316,False,False,-0.160586974295892,False,-0.153660650120069,0.332247231621295,0.931975946063176,16240,False,-0.238150441386395,False,True,0.297328224871308,0.244428655132651,2.31226085631339
True,0.898868082091212,64.0,0.22624714882113,0.231549291871488,0.611953744897619,False,False,-2.01158276677045,False,-0.136025484344792,0.080090703908354,0.0735319256782532,5305,True,-0.153666828448229,False,False,0.552352746250108,0.698907499900088,-8.89369223343176
False,0.827630350366235,61.9,0.454694140935317,0.937500642146915,0.278217531740665,False,False,0.348493184814256,False,-0.85806729817031,0.30162411252968,0.831700134789571,1292,False,0.456630742155561,False,False,0.272459943080321,0.0714289993047714,-9.44735945850266
False,0.349112946307287,61.4,0.492528890259564,0.553254934027791,0.992744622984901,False,False,1.1716100812009,False,-1.49849289572679,0.346326781669632,0.241548221092671,924,False,-0.725319383213463,True,False,0.333425242919475,0.923731387127191,3.07032243172798
False,0.300550528569147,62.5,0.281948939198628,0.466550319455564,0.783707413589582,False,False,-1.48150709302191,True,-0.977916925747951,0.449474917026237,0.914161808788776,3615,False,-0.434902189145984,False,False,0.924638607073575,0.444626306882128,-18.8646510623695
False,0.214784446172416,61.6,0.487511802464724,0.325697300955653,0.717744915513322,False,False,1.21369485884214,False,-0.783780557088556,0.402796210488305,0.379823546623811,12075,False,-0.158919925941811,True,False,0.950090857688338,0.386553381569684,13.2453817017248
True,0.150385992601514,63.2,0.980319490423426,0.19629245926626,0.594030374195427,False,True,0.0278129066930202,False,-1.2409958682733,0.701256625587121,0.35489956359379,18371,False,-1.14084322525259,False,False,0.537168534472585,0.175918586319312,-15.917282072234
False,0.0002642394974827,61.6,0.305564355337992,0.69247711636126,0.227016263641417,False,False,0.325250150746877,False,-0.287980774124185,0.0898766973987222,0.474408290814608,5081,False,1.1743622528076,False,False,0.222846664488316,0.427319341339171,3.80590377386044
